ID,Timestamp,Temperature,Humidity,Date,Time,Day,Month,Year,Hour
1,2014-02-20T19:26:37,29.4,73,20-02-2014,19:26:37,20,2,2014,19
2,2014-02-20T19:30:53,30.1,61,20-02-2014,19:30:53,20,2,2014,19
3,2014-02-20T19:32:36,30.4,59,20-02-2014,19:32:36,20,2,2014,19
4,2014-02-20T19:41:47,30.4,49,20-02-2014,19:41:47,20,2,2014,19
5,2014-02-20T19:45:12,30,57,20-02-2014,19:45:12,20,2,2014,19
6,2014-02-20T19:51:04,30.8,59,20-02-2014,19:51:04,20,2,2014,19
7,2014-02-20T19:56:11,30.2,48,20-02-2014,19:56:11,20,2,2014,19
8,2014-02-20T20:01:20,29,50,20-02-2014,20:01:20,20,2,2014,20
9,2014-02-20T20:05:36,28.3,51,20-02-2014,20:05:36,20,2,2014,20
10,2014-02-20T20:10:44,27.6,52,20-02-2014,20:10:44,20,2,2014,20
11,2014-02-20T20:15:51,27,53,20-02-2014,20:15:51,20,2,2014,20
12,2014-02-20T20:20:58,26.6,54,20-02-2014,20:20:58,20,2,2014,20
13,2014-02-20T20:26:07,26.2,55,20-02-2014,20:26:07,20,2,2014,20
14,2014-02-20T20:31:15,25.9,55,20-02-2014,20:31:15,20,2,2014,20
15,2014-02-20T20:36:21,25.6,56,20-02-2014,20:36:21,20,2,2014,20
16,2014-02-20T20:41:29,25.4,56,20-02-2014,20:41:29,20,2,2014,20
17,2014-02-20T20:46:36,25.2,57,20-02-2014,20:46:36,20,2,2014,20
18,2014-02-20T20:51:44,25.1,57,20-02-2014,20:51:44,20,2,2014,20
19,2014-02-20T20:56:52,24.9,57,20-02-2014,20:56:52,20,2,2014,20
20,2014-02-20T21:01:59,24.8,58,20-02-2014,21:01:59,20,2,2014,21
21,2014-02-20T21:07:00,24.8,58,20-02-2014,21:07:00,20,2,2014,21
22,2014-02-20T21:11:17,24.6,58,20-02-2014,21:11:17,20,2,2014,21
23,2014-02-20T21:16:24,24.6,58,20-02-2014,21:16:24,20,2,2014,21
24,2014-02-20T21:21:32,24.5,59,20-02-2014,21:21:32,20,2,2014,21
25,2014-02-20T21:26:40,24.4,59,20-02-2014,21:26:40,20,2,2014,21
26,2014-02-20T21:31:47,24.3,59,20-02-2014,21:31:47,20,2,2014,21
27,2014-02-20T21:36:55,24.3,60,20-02-2014,21:36:55,20,2,2014,21
